ORG,APARICIONS
jutjat d'instrucció núm. 30 de barcelona,1
jutjat d'instrucció núm. 8 de barcelona,84
jutjat de primera instància i instrucció núm. 2 de vilafranca del penedès,2
jutjat de primera instància i instrucció núm. 3 de rubí,1
jutjat de primera instància i instrucció núm. 5 de gavà,3
jutjat de primera instància i instrucció núm. 5 de rubí,19
jutjat de primera instància núm. 35 de barcelona,1
jutjat de vigilància penitenciària núm. 2 de catalunya,76
jutjat de vigilància penitenciària núm. 4 de catalunya,38
jutjat de vigilància penitenciària núm. 5 de catalunya,26
jutjat social núm. 1 de manresa,367
jutjat social núm. 1 de mataró,92
jutjat social núm. 1 de sabadell,365
jutjat social núm. 1 de terrassa,128
jutjat social núm. 12 de barcelona,241
jutjat social núm. 14 de barcelona,10
jutjat social núm. 2 de mataró,236
jutjat social núm. 2 de sabadell,505
